Business Scenario,Algorithm,Predictors,MAE (USD),RMSE (USD),R² (Log Scale),Adjusted R² (Log Scale)
Model A - Investment Screening,Decision Tree,176,12665.076646682417,23553.571623127802,0.233331770444701,0.2286769612684303
Model A - Investment Screening,Linear Regression,176,12817.818665829769,23858.72499511163,0.2285631028558579,0.22387934081993377
Model A - Investment Screening,Random Forest,176,13043.067440089893,24594.347193979786,0.2205436345039622,0.21581118244354747
Model B1 - Listing Performance,Decision Tree,179,11502.141846924063,21530.72987578575,0.3502440115491784,0.3462313732213296
Model B1 - Listing Performance,Random Forest,179,12354.337889992456,23737.5702823462,0.3042186598533192,0.29992178699196825
Model B1 - Listing Performance,Linear Regression,179,12521.872308440037,23619.25259549532,0.26312113394562164,0.2585704588714891
Model B2 - Host Portfolio,Decision Tree,180,11403.607221950875,21424.869334324456,0.35727875057935976,0.35328724406211864
Model B2 - Host Portfolio,Random Forest,180,12211.190826288006,23508.12256162294,0.3239873414945518,0.3197890845758731
Model B2 - Host Portfolio,Linear Regression,180,12512.080433748792,23615.32644583276,0.2643647794456335,0.2597962471623122
Model C - Pricing Strategy,Decision Tree,181,10590.732990613225,19426.516557948642,0.43688101964795756,0.4333643189805414
Model C - Pricing Strategy,Random Forest,181,11791.551792168048,22666.59245790135,0.3805167337726221,0.37664803587429696
Model C - Pricing Strategy,Linear Regression,181,11769.491770331326,21373.29866940292,0.3476522893070869,0.3435783516320562
